package, guess, num_versions, num_parsed_versions, breaking_versions
GLUT, PVP, 31, 16, 2.2.2.0, 2.5.0.0, 2.6.0.0, 2.7.0.0
GLUtil, PVP, 31, 14, 0.6.1, 0.7
GPX, PVP, 18, 10, 0.4.1, 0.4.8, 0.5, 0.6.2, 0.7.0
GPipe, PVP, 32, 24, 1.0.2, 1.2.0, 1.4, 2.0, 2.1, 2.1.3, 2.1.5, 2.1.6
GPipe-Collada, Unknown, 5, 2, 0.1.4
GPipe-Examples, Unknown, 1, 0, 
GPipe-GLFW, Unknown, 6, 5, 1.2.1
GPipe-TextureLoad, Unknown, 5, 0, 
GTALib, Unknown, 6, 5, 0.0.3, 0.0.4, 0.0.5, 0.0.6
Gamgine, PVP, 6, 1, 0.5
Ganymede, Unknown, 3, 0, 
GaussQuadIntegration, Unknown, 1, 0, 
GeBoP, Unknown, 7, 0, 
GenI, Unknown, 13, 1, 0.17.4
GenSmsPdu, Unknown, 1, 0, 
Genbank, Unknown, 4, 3, 1.0.3
GeneralTicTacToe, Unknown, 2, 0, 
GenericPretty, PVP, 18, 8, 1.0.0, 1.1.7, 1.1.9, 1.2.0
GenussFold, Unknown, 2, 1, 0.0.0.2
GeoIp, PVP, 3, 2, 0.3
GeocoderOpenCage, Unknown, 1, 0, 
Geodetic, PVP, 4, 1, 0.4
GeomPredicates, Unknown, 1, 0, 
GeomPredicates-SSE, Unknown, 1, 0, 
GiST, Unknown, 1, 0, 
Gifcurry, Unknown, 12, 0, 
GiveYouAHead, Unknown, 3, 2, 
Glob, PVP, 24, 20, 0.4, 0.7, 0.7.6
GlomeTrace, Unknown, 4, 1, 
GlomeVec, Unknown, 4, 2, 0.1.2
GlomeView, Unknown, 2, 0, 
GoogleChart, PVP, 2, 1, 0.2
GoogleDirections, Unknown, 2, 1, 
GoogleSB, Unknown, 1, 0, 
GoogleSuggest, Unknown, 4, 3, 0.0.3, 0.0.4
GoogleTranslate, Unknown, 5, 4, 0.0.3, 0.0.5
GotoT-transformers, Unknown, 2, 1, 
Grafos, Unknown, 1, 0, 
GrammarProducts, Unknown, 7, 3, 0.1.1.1
Graph500, Unknown, 1, 0, 
GraphHammer, Unknown, 1, 0, 
GraphHammer-examples, Unknown, 1, 0, 
GraphSCC, Unknown, 5, 4, 1.0.2
Graphalyze, PVP, 19, 5, 0.8.0.0, 0.9.0.0, 0.11.0.0
Grempa, Unknown, 7, 1, 
GroteTrap, PVP, 7, 4, 0.3, 0.5.1, 0.5.2
Grow, Unknown, 5, 0, 
GrowlNotify, Unknown, 4, 0, 
Gtk2hsGenerics, Unknown, 1, 0, 
GtkGLTV, Unknown, 1, 0, 
GtkTV, Unknown, 12, 2, 
GuiHaskell, Unknown, 2, 0, 
GuiTV, Unknown, 3, 0, 
H, Unknown, 4, 0, 
HARM, Unknown, 4, 2, 
HAppS-Data, Unknown, 3, 0, 
HAppS-IxSet, Unknown, 3, 0, 
HAppS-Server, Unknown, 4, 0, 
HAppS-State, Unknown, 3, 0, 
HAppS-Util, Unknown, 3, 2, 0.9.3
HAppSHelpers, Unknown, 10, 0, 
HCL, PVP, 5, 1, 1.4
HCard, Unknown, 1, 0, 
HCodecs, PVP, 12, 5, 0.2
HDBC, SemVer, 23, 15, 2.0.0, 2.1.1, 2.2.6.1
HDBC-mysql, Unknown, 20, 16, 0.6.6.0
HDBC-odbc, Unknown, 21, 11, 
HDBC-postgresql, Unknown, 16, 8, 
HDBC-postgresql-hstore, Unknown, 1, 0, 
HDBC-session, Unknown, 5, 4, 
HDBC-sqlite3, Unknown, 13, 9, 
HDRUtils, Unknown, 3, 2, 1.0.1
HERA, Unknown, 1, 0, 
HFrequencyQueue, Unknown, 2, 0, 
HFuse, Unknown, 10, 8, 0.2.2, 0.2.3
HGE2D, Unknown, 10, 5, 0.1.9.0
HGL, Unknown, 8, 1, 
HGamer3D, Unknown, 18, 0, 
HGamer3D-API, Unknown, 7, 0, 
HGamer3D-Audio, Unknown, 3, 0, 
HGamer3D-Bullet-Binding, Unknown, 2, 1, 
HGamer3D-CAudio-Binding, Unknown, 1, 0, 
HGamer3D-CEGUI-Binding, Unknown, 7, 2, 
HGamer3D-Common, Unknown, 1, 0, 
HGamer3D-Data, PVP, 13, 4, 0.2.0, 0.4.0, 0.5.0
HGamer3D-Enet-Binding, Unknown, 6, 0, 
HGamer3D-GUI, Unknown, 3, 0, 
HGamer3D-Graphics3D, Unknown, 5, 0, 
HGamer3D-InputSystem, Unknown, 3, 0, 
HGamer3D-Network, Unknown, 3, 0, 
HGamer3D-OIS-Binding, Unknown, 4, 0, 
HGamer3D-Ogre-Binding, Unknown, 15, 3, 0.1.9
HGamer3D-SDL2-Binding, Unknown, 6, 0, 
HGamer3D-SFML-Binding, Unknown, 10, 2, 
HGamer3D-WinEvent, Unknown, 2, 0, 
HGamer3D-Wire, Unknown, 4, 0, 
HGraphStorage, Unknown, 3, 0, 
HHDL, Unknown, 1, 0, 
HJScript, Unknown, 11, 5, 0.4.9
HJVM, Unknown, 1, 0, 
HJavaScript, Unknown, 5, 4, 0.4.4, 0.4.7
HLearn-algebra, PVP, 12, 8, 0.1.0, 0.1.1.0, 1.0.1, 1.1.0.0
HLearn-approximation, Unknown, 2, 0, 
HLearn-classification, Unknown, 5, 0, 
HLearn-datastructures, Unknown, 2, 0, 
HLearn-distributions, PVP, 15, 5, 0.1.0.0, 0.1.0.1, 0.2.1
HList, PVP, 15, 7, 0.1.1, 0.2, 0.2.1, 0.2.2, 0.2.3, 0.4.1.0, 0.4.2.0
HListPP, Unknown, 3, 0, 
HLogger, Unknown, 1, 0, 
HMM, Unknown, 1, 0, 
HMap, Unknown, 27, 11, 1.2.6, 1.2.7
HMarkov, Unknown, 6, 5, 1.0.1.0
HNM, Unknown, 3, 0, 
HODE, Unknown, 1, 0, 
HOpenCV, PVP, 11, 8, 0.1.2.1, 0.1.2.2, 0.3, 0.4.0.0
HPDF, Unknown, 16, 9, 1.4.2, 1.4.3, 1.4.7, 1.4.8, 1.4.9, 1.4.10
HPath, Unknown, 3, 1, 
